order_id,customer_id,order_date,product_name,category,unit_price,cost,quantity
1,195,2024-01-05,Producto_6,Bebidas,25.77,14.98,3
2,23,2024-12-24,Producto_9,Tecnología,44.85,21.88,5
2,23,2024-12-24,Producto_2,Hogar,28.26,18.81,5
2,23,2024-12-24,Producto_7,Tecnología,62.19,35.65,3
2,23,2024-12-24,Producto_14,Snacks,95.94,39.69,1
3,117,2024-12-10,Producto_2,Hogar,28.26,14.53,1
3,117,2024-12-10,Producto_14,Snacks,95.94,56.67,4
3,117,2024-12-10,Producto_4,Tecnología,13.26,5.95,3
4,182,2024-09-01,Producto_11,Bebidas,77.09,44.92,1
4,182,2024-09-01,Producto_5,Limpieza,8.02,4.49,2
5,126,2024-03-11,Producto_8,Tecnología,23.89,16.65,3
5,126,2024-03-11,Producto_7,Tecnología,62.19,28.97,5
6,167,2024-05-15,Producto_4,Tecnología,13.26,8.51,1
7,206,2024-11-26,Producto_2,Hogar,28.26,13.11,3
7,206,2024-11-26,Producto_4,Tecnología,13.26,6.88,4
7,206,2024-11-26,Producto_10,Limpieza,60.98,27.01,4
8,72,2024-11-22,Producto_12,Snacks,71.32,34.15,5
8,72,2024-11-22,Producto_9,Tecnología,44.85,23.7,5
9,299,2024-05-23,Producto_6,Bebidas,25.77,11.01,4
9,299,2024-05-23,Producto_4,Tecnología,13.26,8.73,1
9,299,2024-05-23,Producto_3,Snacks,74.96,44.09,2
9,299,2024-05-23,Producto_9,Tecnología,44.85,25.96,4
10,198,2024-10-06,Producto_10,Limpieza,60.98,40.14,5
10,198,2024-10-06,Producto_8,Tecnología,23.89,14.43,1
10,198,2024-10-06,Producto_9,Tecnología,44.85,27.11,1
10,198,2024-10-06,Producto_5,Limpieza,8.02,5.01,5
11,175,2024-11-04,Producto_5,Limpieza,8.02,3.59,4
12,2,2024-03-26,Producto_9,Tecnología,44.85,30.22,5
12,2,2024-03-26,Producto_13,Hogar,31.4,20.49,3
12,2,2024-03-26,Producto_3,Snacks,74.96,43.68,5
13,79,2024-06-01,Producto_13,Hogar,31.4,21.21,5
13,79,2024-06-01,Producto_3,Snacks,74.96,37.27,5
13,79,2024-06-01,Producto_9,Tecnología,44.85,19.45,1
14,186,2024-05-19,Producto_4,Tecnología,13.26,9.07,5
14,186,2024-05-19,Producto_1,Bebidas,7.38,4.57,1
14,186,2024-05-19,Producto_15,Hogar,14.71,10.2,1
15,273,2024-09-13,Producto_3,Snacks,74.96,51.28,4
15,273,2024-09-13,Producto_11,Bebidas,77.09,36.97,2
16,217,2024-05-01,Producto_15,Hogar,14.71,9.03,2
16,217,2024-05-01,Producto_9,Tecnología,44.85,31.33,4
17,192,2024-09-15,Producto_15,Hogar,14.71,6.88,2
17,192,2024-09-15,Producto_9,Tecnología,44.85,18.22,3
17,192,2024-09-15,Producto_8,Tecnología,23.89,11.21,5
17,192,2024-09-15,Producto_2,Hogar,28.26,11.36,2
18,31,2024-12-13,Producto_2,Hogar,28.26,11.9,3
18,31,2024-12-13,Producto_1,Bebidas,7.38,3.57,2
19,249,2024-11-09,Producto_9,Tecnología,44.85,25.69,5
19,249,2024-11-09,Producto_3,Snacks,74.96,47.63,2
20,209,2024-03-06,Producto_2,Hogar,28.26,14.31,4
20,209,2024-03-06,Producto_15,Hogar,14.71,7.94,4
21,28,2024-09-24,Producto_1,Bebidas,7.38,4.56,4
22,56,2024-04-07,Producto_4,Tecnología,13.26,7.09,5
22,56,2024-04-07,Producto_15,Hogar,14.71,6.69,4
23,237,2024-08-23,Producto_14,Snacks,95.94,61.63,4
23,237,2024-08-23,Producto_2,Hogar,28.26,12.13,5
24,277,2024-05-28,Producto_2,Hogar,28.26,12.71,2
25,249,2024-06-20,Producto_4,Tecnología,13.26,6.81,2
25,249,2024-06-20,Producto_14,Snacks,95.94,46.01,4
25,249,2024-06-20,Producto_7,Tecnología,62.19,30.2,4
25,249,2024-06-20,Producto_1,Bebidas,7.38,4.42,5
26,250,2024-01-08,Producto_4,Tecnología,13.26,9.16,2
26,250,2024-01-08,Producto_5,Limpieza,8.02,4.98,5
27,32,2024-12-13,Producto_1,Bebidas,7.38,4.07,4
27,32,2024-12-13,Producto_15,Hogar,14.71,6.58,5
27,32,2024-12-13,Producto_10,Limpieza,60.98,25.86,5
28,96,2024-07-17,Producto_10,Limpieza,60.98,36.74,1
29,121,2024-06-14,Producto_2,Hogar,28.26,11.64,5
29,121,2024-06-14,Producto_10,Limpieza,60.98,32.06,1
29,121,2024-06-14,Producto_4,Tecnología,13.26,7.55,5
29,121,2024-06-14,Producto_14,Snacks,95.94,65.28,3
30,105,2024-12-16,Producto_4,Tecnología,13.26,7.98,2
30,105,2024-12-16,Producto_5,Limpieza,8.02,4.31,3
30,105,2024-12-16,Producto_7,Tecnología,62.19,25.05,1
31,289,2024-04-28,Producto_2,Hogar,28.26,13.11,5
32,136,2024-11-08,Producto_15,Hogar,14.71,9.76,1
32,136,2024-11-08,Producto_6,Bebidas,25.77,12.51,3
33,225,2024-04-19,Producto_10,Limpieza,60.98,24.54,5
33,225,2024-04-19,Producto_13,Hogar,31.4,15.38,5
33,225,2024-04-19,Producto_11,Bebidas,77.09,52.55,1
34,69,2024-08-05,Producto_2,Hogar,28.26,12.62,5
34,69,2024-08-05,Producto_15,Hogar,14.71,8.55,3
34,69,2024-08-05,Producto_12,Snacks,71.32,32.88,3
35,136,2024-03-28,Producto_5,Limpieza,8.02,5.2,4
35,136,2024-03-28,Producto_14,Snacks,95.94,38.48,1
35,136,2024-03-28,Producto_1,Bebidas,7.38,4.36,2
35,136,2024-03-28,Producto_2,Hogar,28.26,12.67,3
36,227,2024-10-23,Producto_9,Tecnología,44.85,25.28,2
36,227,2024-10-23,Producto_1,Bebidas,7.38,4.24,3
36,227,2024-10-23,Producto_2,Hogar,28.26,14.95,2
36,227,2024-10-23,Producto_13,Hogar,31.4,15.46,1
37,21,2024-08-28,Producto_4,Tecnología,13.26,6.71,1
37,21,2024-08-28,Producto_11,Bebidas,77.09,51.28,5
37,21,2024-08-28,Producto_15,Hogar,14.71,10.18,4
38,80,2024-12-20,Producto_14,Snacks,95.94,63.74,2
38,80,2024-12-20,Producto_3,Snacks,74.96,34.02,1
39,171,2024-09-20,Producto_13,Hogar,31.4,14.06,3
39,171,2024-09-20,Producto_11,Bebidas,77.09,39.68,1
39,171,2024-09-20,Producto_12,Snacks,71.32,46.9,1
39,171,2024-09-20,Producto_4,Tecnología,13.26,6.1,2
40,236,2024-11-14,Producto_5,Limpieza,8.02,3.74,2
40,236,2024-11-14,Producto_14,Snacks,95.94,49.84,2
40,236,2024-11-14,Producto_13,Hogar,31.4,20.7,3
41,143,2024-11-30,Producto_11,Bebidas,77.09,38.49,5
41,143,2024-11-30,Producto_9,Tecnología,44.85,19.49,1
41,143,2024-11-30,Producto_7,Tecnología,62.19,28.21,3
